12÷2=？  	12÷2=？  <br>谜底：<font color="#FFFFFF">商陆  </font>\n
啊仔最怕啊妈(猜一人物) 	啊仔最怕啊妈(猜一人物) <br>谜底：<font color="#FFFFFF">嫦娥</font>\n
阿波罗（朝代）	阿波罗（朝代）<br>谜底：<font color="#FFFFFF">三国</font>\n
阿瞒子孙多。（以下各打《三国》人名一）#############      </td>	阿瞒子孙多。（以下各打《三国》人名一）#############      </td><br>谜底：<font color="#FFFFFF">魏延</font>\n
阿庆嫂上班。 （打京剧名一）  	阿庆嫂上班。 （打京剧名一）  <br>谜底：<font color="#FFFFFF">卖水  </font>\n
矮矮树，结银果， 我去摘，它哄我。（打一自然物） 	矮矮树，结银果， 我去摘，它哄我。（打一自然物） <br>谜底：<font color="#FFFFFF">露水</font>\n
艾（成语）	艾（成语）<br>谜底：<font color="#FFFFFF">一念之差</font>\n
爱好旅游。 （成语）	爱好旅游。 （成语）<br>谜底：<font color="#FFFFFF">喜出望外 </font>\n
爱看斗牛。（打一非洲地名） 	爱看斗牛。（打一非洲地名） <br>谜底：<font color="#FFFFFF">好望角 </font>\n
爱上灯谜，十分投入 （字 ）	爱上灯谜，十分投入 （字 ）<br>谜底：<font color="#FFFFFF">虢</font>\n
安安静静默吟诗（河北名胜）	安安静静默吟诗（河北名胜）<br>谜底：<font color="#FFFFFF">普宁寺</font>\n
安得广厦千万间（《核舟记》句）	安得广厦千万间（《核舟记》句）<br>谜底：<font color="#FFFFFF">如有所语</font>\n
安得倚天抽宝剑（字）	安得倚天抽宝剑（字）<br>谜底：<font color="#FFFFFF">击</font>\n
安抵伦敦来相聚（三字近代史组织）	安抵伦敦来相聚（三字近代史组织）<br>谜底：<font color="#FFFFFF">平英团</font>\n
安字去了盖 莫当女字猜 （字 ）	安字去了盖 莫当女字猜 （字 ）<br>谜底：<font color="#FFFFFF">好</font>\n
俺大人不在 （字 ）	俺大人不在 （字 ）<br>谜底：<font color="#FFFFFF">奄</font>\n
俺自有奇计（时人）	俺自有奇计（时人）<br>谜底：<font color="#FFFFFF">阿拉发特</font>\n
俺自有奇计 （世界政坛人物 ）	俺自有奇计 （世界政坛人物 ）<br>谜底：<font color="#FFFFFF">阿拉法特</font>\n
按纳唯中央（四字礼貌用语）	按纳唯中央（四字礼貌用语）<br>谜底：<font color="#FFFFFF">招待不周</font>\n
暗堡。 （打外国影片名一）  	暗堡。 （打外国影片名一）  <br>谜底：<font color="#FFFFFF">看不见的要塞  </font>\n
暗送秋波（二字影片名）	暗送秋波（二字影片名）<br>谜底：<font color="#FFFFFF">情深</font>\n
八骏随天子（字）	八骏随天子（字）<br>谜底：<font color="#FFFFFF">玛</font>\n
八口人。（打一穴位名）  	八口人。（打一穴位名）  <br>谜底：<font color="#FFFFFF">合谷  </font>\n
八十四小时。 （成语）	八十四小时。 （成语）<br>谜底：<font color="#FFFFFF">朝三暮四 </font>\n
八兄弟，同赏月（字）	八兄弟，同赏月（字）<br>谜底：<font color="#FFFFFF">脱</font>\n
八兄弟同赏月	八兄弟同赏月<br>谜底：<font color="#FFFFFF">脱</font>\n
八月黄花六月开。  	八月黄花六月开。  <br>谜底：<font color="#FFFFFF">夏金桂</font>\n
八只脚，抬面鼓，两把剪刀鼓前舞， 生来横行又霸道，嘴里常把泡沫吐。 	八只脚，抬面鼓，两把剪刀鼓前舞， 生来横行又霸道，嘴里常把泡沫吐。 <br>谜底：<font color="#FFFFFF">螃蟹</font>\n
八字头 （字 ）	八字头 （字 ）<br>谜底：<font color="#FFFFFF">学</font>\n
八字须，往上翘，说话好象娃娃叫， 只洗脸，不梳头，夜行不用灯光照。 	八字须，往上翘，说话好象娃娃叫， 只洗脸，不梳头，夜行不用灯光照。 <br>谜底：<font color="#FFFFFF">猫</font>\n
拔河比赛，不分胜负。（打一物理名词）  	拔河比赛，不分胜负。（打一物理名词）  <br>谜底：<font color="#FFFFFF">平衡力  </font>\n
靶。 (成语)	靶。 (成语)<br>谜底：<font color="#FFFFFF">众矢之的 </font>\n
靶场。 (成语)	靶场。 (成语)<br>谜底：<font color="#FFFFFF">弹丸之地 </font>\n
霸王别姬（打词牌名和古书名各一）  	霸王别姬（打词牌名和古书名各一）  <br>谜底：<font color="#FFFFFF">虞美人、楚辞  </font>\n
爸爸已到四十岁， 养了儿子才八岁。  	爸爸已到四十岁， 养了儿子才八岁。  <br>谜底：<font color="#FFFFFF">五倍子  </font>\n
白痴（字）	白痴（字）<br>谜底：<font color="#FFFFFF">保</font>\n
白发还乡井（中药名三）	白发还乡井（中药名三）<br>谜底：<font color="#FFFFFF">苍耳、当归、生地</font>\n
白驹过隙（摄影词语）	白驹过隙（摄影词语）<br>谜底：<font color="#FFFFFF">感光度</font>\n
白浪滔天（文学名词）	白浪滔天（文学名词）<br>谜底：<font color="#FFFFFF">高潮</font>\n
白茫茫是何处? （字） 	白茫茫是何处? （字） <br>谜底：<font color="#FFFFFF">谜</font>\n
白毛女乐盈盈（成语）	白毛女乐盈盈（成语）<br>谜底：<font color="#FFFFFF">喜笑颜开</font>\n
白娘子入昆仑（湖北名胜）	白娘子入昆仑（湖北名胜）<br>谜底：<font color="#FFFFFF">蛇山</font>\n
白皮书（成语）	白皮书（成语）<br>谜底：<font color="#FFFFFF">表面文章</font>\n
白人（医学词语）	白人（医学词语）<br>谜底：<font color="#FFFFFF">皮肤色素</font>\n
白如玉，穿黄袍， 只有一丁大， 都是宝中宝。 	白如玉，穿黄袍， 只有一丁大， 都是宝中宝。 <br>谜底：<font color="#FFFFFF">稻子</font>\n
白色冰晶，不甜不咸， 有色无味，寒来夏无。 （打一自然现象） 	白色冰晶，不甜不咸， 有色无味，寒来夏无。 （打一自然现象） <br>谜底：<font color="#FFFFFF">霜</font>\n
白色花，无人栽， 一夜北风遍地天， 无根无枝又无叶， 此花原从天上来。（打一自然现象） 	白色花，无人栽， 一夜北风遍地天， 无根无枝又无叶， 此花原从天上来。（打一自然现象） <br>谜底：<font color="#FFFFFF">雪</font>\n
白石故居。（打北京一地名）  	白石故居。（打北京一地名）  <br>谜底：<font color="#FFFFFF">齐家园  </font>\n
白石故居。（打北京一地名）	白石故居。（打北京一地名）<br>谜底：<font color="#FFFFFF">齐家园</font>\n
白手起家。 （打一国产故事片名）  	白手起家。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">创业  </font>\n
白首为功名（字）	白首为功名（字）<br>谜底：<font color="#FFFFFF">任</font>\n
白又方，嫩又香， 能做菜，能煮汤， 豆子是它爹和妈， 它和爹妈不一样。 	白又方，嫩又香， 能做菜，能煮汤， 豆子是它爹和妈， 它和爹妈不一样。 <br>谜底：<font color="#FFFFFF">豆腐</font>\n
白专。（打一亚洲国名） 	白专。（打一亚洲国名） <br>谜底：<font color="#FFFFFF">不丹 </font>\n
百．（打泰山各胜一）  	百．（打泰山各胜一）  <br>谜底：<font color="#FFFFFF">玉皇顶  </font>\n
百．（打泰山各胜一） 	百．（打泰山各胜一） <br>谜底：<font color="#FFFFFF">玉皇顶</font>\n
百般红紫斗芳菲（摄影名词）	百般红紫斗芳菲（摄影名词）<br>谜底：<font color="#FFFFFF">彩色相交</font>\n
百花丛中最鲜艳（党史人名）	百花丛中最鲜艳（党史人名）<br>谜底：<font color="#FFFFFF">陈独秀</font>\n
百花齐放(打一成语)	百花齐放(打一成语)<br>谜底：<font color="#FFFFFF">万紫千红</font>\n
百花争艳。 （打一国产故事片名）  	百花争艳。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">万紫千红总是春</font>\n
百姐妹,千姐妹,同床睡,各盖被	百姐妹,千姐妹,同床睡,各盖被<br>谜底：<font color="#FFFFFF">是石榴! </font>\n
百米赛跑(打一成语)	百米赛跑(打一成语)<br>谜底：<font color="#FFFFFF">争先恐後</font>\n
百年大树，风刮不倒。 （成语）	百年大树，风刮不倒。 （成语）<br>谜底：<font color="#FFFFFF">根深蒂固 </font>\n
百年古屋。  	百年古屋。  <br>谜底：<font color="#FFFFFF">老舍</font>\n
百年前的月亮	百年前的月亮<br>谜底：<font color="#FFFFFF">胡</font>\n
百年任务，七天完成。  	百年任务，七天完成。  <br>谜底：<font color="#FFFFFF">周树人</font>\n
百岁翁。（打一星座） 	百岁翁。（打一星座） <br>谜底：<font color="#FFFFFF">老人星</font>\n
百舸争流（体育项目）	百舸争流（体育项目）<br>谜底：<font color="#FFFFFF">赛艇</font>\n
摆好架式防中路（四字礼貌用语）	摆好架式防中路（四字礼貌用语）<br>谜底：<font color="#FFFFFF">招待不周</font>\n
败笔（成语）	败笔（成语）<br>谜底：<font color="#FFFFFF">不可胜书</font>\n
败诉（成语）	败诉（成语）<br>谜底：<font color="#FFFFFF">不可胜言</font>\n
拜年。（打鲁迅作品篇名一）	拜年。（打鲁迅作品篇名一）<br>谜底：<font color="#FFFFFF">祝福  </font>\n
板桥旧梦了无痕 （字）	板桥旧梦了无痕 （字）<br>谜底：<font color="#FFFFFF">萝</font>\n
板桥曙色添牛迹 （字 ）	板桥曙色添牛迹 （字 ）<br>谜底：<font color="#FFFFFF">星</font>\n
半部春秋（字） 	半部春秋（字） <br>谜底：<font color="#FFFFFF">秦</font>\n
半部春秋 (字) 	半部春秋 (字) <br>谜底：<font color="#FFFFFF">秦</font>\n
半导体（字） 	半导体（字） <br>谜底：<font color="#FFFFFF">付</font>\n
半个月（字） 	半个月（字） <br>谜底：<font color="#FFFFFF">胖</font>\n
半个月亮	半个月亮<br>谜底：<font color="#FFFFFF">胖</font>\n
半价出售 （字 ）	半价出售 （字 ）<br>谜底：<font color="#FFFFFF">催</font>\n
半截白，半截青， 半截实来半截空， 半截在地上，半截在土中。 	半截白，半截青， 半截实来半截空， 半截在地上，半截在土中。 <br>谜底：<font color="#FFFFFF">葱</font>\n
半决赛（ 字） 	半决赛（ 字） <br>谜底：<font color="#FFFFFF">寒</font>\n
半青半紫 (字）	半青半紫 (字）<br>谜底：<font color="#FFFFFF">素</font>\n
半是欢娱半是愁 （字） 	半是欢娱半是愁 （字） <br>谜底：<font color="#FFFFFF">怒</font>\n
半塘残月三分荷（字）	半塘残月三分荷（字）<br>谜底：<font color="#FFFFFF">疆</font>\n
半条香烟 （字 ）	半条香烟 （字 ）<br>谜底：<font color="#FFFFFF">揪</font>\n
半推半就（字）	半推半就（字）<br>谜底：<font color="#FFFFFF">掠</font>\n
半真半假（字）	半真半假（字）<br>谜底：<font color="#FFFFFF">值</font>\n
半醉半醒入水帘（四川名胜）	半醉半醒入水帘（四川名胜）<br>谜底：<font color="#FFFFFF">二酉洞</font>\n
办法一点都没有（字）	办法一点都没有（字）<br>谜底：<font color="#FFFFFF">劫</font>\n
帮忙需尽力（字）	帮忙需尽力（字）<br>谜底：<font color="#FFFFFF">且</font>\n
傍晚斗犹酣。 （打一国产故事片名）  	傍晚斗犹酣。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">激战前夜  </font>\n
傍晚停电盼灯明（四字礼貌用语）	傍晚停电盼灯明（四字礼貌用语）<br>谜底：<font color="#FFFFFF">欢迎光临</font>\n
包龙图。  	包龙图。  <br>谜底：<font color="#FFFFFF">首乌  </font>\n
包青天和白雪公主所生的女儿叫什名字? 	包青天和白雪公主所生的女儿叫什名字? <br>谜底：<font color="#FFFFFF">灰姑娘</font>\n
包拯、海瑞、况钟列传。 （打京剧名一）  	包拯、海瑞、况钟列传。 （打京剧名一）  <br>谜底：<font color="#FFFFFF">清官册  </font>\n
包拯、海瑞、况钟列传。 （打京剧名一）  	包拯、海瑞、况钟列传。 （打京剧名一）  <br>谜底：<font color="#FFFFFF">清官册  </font>\n
剥去面罩原形毕露。 （打一香港故事片名）  	剥去面罩原形毕露。 （打一香港故事片名）  <br>谜底：<font color="#FFFFFF">画皮  </font>\n
薄薄如纸亮晶晶， 颜色艳丽体透明， 常和水晶来做伴， 绝缘材料顶有名。 （打一矿产品）  	薄薄如纸亮晶晶， 颜色艳丽体透明， 常和水晶来做伴， 绝缘材料顶有名。 （打一矿产品）  <br>谜底：<font color="#FFFFFF">云母  </font>\n
薄扇脚跟，木瓢嘴唇， 赛跑不行，游泳有名。 	薄扇脚跟，木瓢嘴唇， 赛跑不行，游泳有名。 <br>谜底：<font color="#FFFFFF">鸭子</font>\n
薄扇脚跟，木瓢嘴唇， 赛跑不行，游泳有名。 	薄扇脚跟，木瓢嘴唇， 赛跑不行，游泳有名。 <br>谜底：<font color="#FFFFFF">鸭子</font>\n
保。（打一外国文学作品名）  	保。（打一外国文学作品名）  <br>谜底：<font color="#FFFFFF">白痴</font>\n
饱经风霜。 （打外国影片名一）  	饱经风霜。 （打外国影片名一）  <br>谜底：<font color="#FFFFFF">苦难的历程  </font>\n
宝宝不怕晒,穿衣真奇怪,里边套红衫,外面披麻袋  谜底 	宝宝不怕晒,穿衣真奇怪,里边套红衫,外面披麻袋  谜底 <br>谜底：<font color="#FFFFFF">花生! </font>\n
宝贝。 （打一国产故事片名）  	宝贝。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">啊！摇篮  </font>\n
宝岛姑娘（字）	宝岛姑娘（字）<br>谜底：<font color="#FFFFFF">始</font>\n
宝盖头 (字 )	宝盖头 (字 )<br>谜底：<font color="#FFFFFF">实</font>\n
宝树丛丛。（打一省名）	宝树丛丛。（打一省名）<br>谜底：<font color="#FFFFFF">吉林</font>\n
宝树丛丛。（打一省名）  	宝树丛丛。（打一省名）  <br>谜底：<font color="#FFFFFF">吉林  </font>\n
宝玉。（打山西一地名）  	宝玉。（打山西一地名）  <br>谜底：<font color="#FFFFFF">灵石  </font>\n
豹子头万念俱灰（《桃花园记》句）	豹子头万念俱灰（《桃花园记》句）<br>谜底：<font color="#FFFFFF">欲穷其林</font>\n
北方四岛一念悬 （字 ）	北方四岛一念悬 （字 ）<br>谜底：<font color="#FFFFFF">燕</font>\n
北方四岛一念悬 （字 ）	北方四岛一念悬 （字 ）<br>谜底：<font color="#FFFFFF">燕</font>\n
北国风光（美术词语）	北国风光（美术词语）<br>谜底：<font color="#FFFFFF">冷色</font>\n
北京北美共迎春 (字) 	北京北美共迎春 (字) <br>谜底：<font color="#FFFFFF">亲</font>\n
背负青天（五字口语）	背负青天（五字口语）<br>谜底：<font color="#FFFFFF">包在我身上。</font>\n
背负青天（五字口语）	背负青天（五字口语）<br>谜底：<font color="#FFFFFF">包在我身上</font>\n
背离祖国人民。 （打外国故事片名一）  	背离祖国人民。 （打外国故事片名一）  <br>谜底：<font color="#FFFFFF">判逆  审判长</font>\n
背脸。 (成语)	背脸。 (成语)<br>谜底：<font color="#FFFFFF">其貌不扬 </font>\n
背着象个布疙瘩， 撒在半空象朵花， 腾云驾雾本领大， 空军叔叔喜爱它。 （打一军用物） 	背着象个布疙瘩， 撒在半空象朵花， 腾云驾雾本领大， 空军叔叔喜爱它。 （打一军用物） <br>谜底：<font color="#FFFFFF">降落伞</font>\n
本来面目（摄影词语）	本来面目（摄影词语）<br>谜底：<font color="#FFFFFF">原色</font>\n
本末倒置 （字 ）	本末倒置 （字 ）<br>谜底：<font color="#FFFFFF">半</font>\n
本周之内一定去 （字）	本周之内一定去 （字）<br>谜底：<font color="#FFFFFF">桔</font>\n
鼻子粗又长，两牙赛门杠， 双耳如薄扇，身子似面墙。 	鼻子粗又长，两牙赛门杠， 双耳如薄扇，身子似面墙。 <br>谜底：<font color="#FFFFFF">象</font>\n
比武招亲（二字日常行为用语）	比武招亲（二字日常行为用语）<br>谜底：<font color="#FFFFFF">打字</font>\n
比重计。  	比重计。  <br>谜底：<font color="#FFFFFF">沈浮</font>\n
笔。 （打中国科教片名一）  	笔。 （打中国科教片名一）  <br>谜底：<font color="#FFFFFF">毛竹  </font>\n
笔走龙蛇（文学名词）	笔走龙蛇（文学名词）<br>谜底：<font color="#FFFFFF">速记</font>\n
彼此各一半 （字 ）	彼此各一半 （字 ）<br>谜底：<font color="#FFFFFF">跛　</font>\n
彼此各有一半（字）	彼此各有一半（字）<br>谜底：<font color="#FFFFFF">跛</font>\n
壁上加石棉（三字电脑名词）	壁上加石棉（三字电脑名词）<br>谜底：<font color="#FFFFFF">防火墙</font>\n
边打边谈（字）	边打边谈（字）<br>谜底：<font color="#FFFFFF">订</font>\n
扁圆脑袋细长身， 看图看画最认真， 牢牢盯住不移动， 只见脑袋不见身。 （打一文具） 	扁圆脑袋细长身， 看图看画最认真， 牢牢盯住不移动， 只见脑袋不见身。 （打一文具） <br>谜底：<font color="#FFFFFF">图钉 </font>\n
变奏为春。 （成语）	变奏为春。 （成语）<br>谜底：<font color="#FFFFFF">偷天换日 </font>\n
表里如一（字）	表里如一（字）<br>谜底：<font color="#FFFFFF">回</font>\n
斌。 （打京剧名一）  	斌。 （打京剧名一）  <br>谜底：<font color="#FFFFFF">将相和  </font>\n
宾馆（五字影片名）	宾馆（五字影片名）<br>谜底：<font color="#FFFFFF">来的都是客</font>\n
兵马未动，粮草先行。 （打一国产故事片名）  	兵马未动，粮草先行。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">走在战争前面 </font>\n
兵痞（医学词语）	兵痞（医学词语）<br>谜底：<font color="#FFFFFF">营养不良</font>\n
兵卒都过河。（打北京一地名）  	兵卒都过河。（打北京一地名）  <br>谜底：<font color="#FFFFFF">十渡  </font>\n
兵卒都过河。（打北京一地名） 	兵卒都过河。（打北京一地名） <br>谜底：<font color="#FFFFFF">十渡 </font>\n
冰雹大作。  	冰雹大作。  <br>谜底：<font color="#FFFFFF">冷子兴</font>\n
冰点。（打河南一地名）  	冰点。（打河南一地名）  <br>谜底：<font color="#FFFFFF">固始  </font>\n
丙辰清明。 （打毛主席诗词一句）  	丙辰清明。 （打毛主席诗词一句）  <br>谜底：<font color="#FFFFFF">泪飞顿作倾盆雨  </font>\n
丙丁（五字影片名）	丙丁（五字影片名）<br>谜底：<font color="#FFFFFF">第三个男人</font>\n
秉笔直书（古代书名）	秉笔直书（古代书名）<br>谜底：<font color="#FFFFFF">清实录</font>\n
病容（六字文评用语）	病容（六字文评用语）<br>谜底：<font color="#FFFFFF">不健康的一面</font>\n
并非骑车事故多（成语）	并非骑车事故多（成语）<br>谜底：<font color="#FFFFFF">祸不单行</font>\n
播种时节。（打一杂志名）  	播种时节。（打一杂志名）  <br>谜底：<font color="#FFFFFF">芒种</font>\n
波改作破。 （成语）	波改作破。 （成语）<br>谜底：<font color="#FFFFFF">水落石出 </font>\n
波音（四字影片名）	波音（四字影片名）<br>谜底：<font color="#FFFFFF">水上歌声</font>\n
伯牙摔琴。 （打国产故事片名二）  	伯牙摔琴。 （打国产故事片名二）  <br>谜底：<font color="#FFFFFF">伤逝、知音  </font>\n
哺乳。  	哺乳。  <br>谜底：<font color="#FFFFFF">灌婴</font>\n
不辩东西（学科名）	不辩东西（学科名）<br>谜底：<font color="#FFFFFF">生物</font>\n
不吃粮食不吃草， 天天都在地里跑， 犁耙运输和收割， 行行能干样样好。 （打一农机） 	不吃粮食不吃草， 天天都在地里跑， 犁耙运输和收割， 行行能干样样好。 （打一农机） <br>谜底：<font color="#FFFFFF">拖拉机 </font>\n
不大不大,浑身净画,背个纸口袋,走遍天下	不大不大,浑身净画,背个纸口袋,走遍天下<br>谜底：<font color="#FFFFFF">是邮票! </font>\n
不得议论姑娘（成语）	不得议论姑娘（成语）<br>谜底：<font color="#FFFFFF">妙不可言</font>\n
不可战胜。（打一医学名词）  	不可战胜。（打一医学名词）  <br>谜底：<font color="#FFFFFF">休克  </font>\n
不冷不热	不冷不热<br>谜底：<font color="#FFFFFF">温州! </font>\n
不毛之地（二字影片名）	不毛之地（二字影片名）<br>谜底：<font color="#FFFFFF">净土</font>\n
不怕身上脏，墙角把身藏， 出来走一走，地面光又光。 	不怕身上脏，墙角把身藏， 出来走一走，地面光又光。 <br>谜底：<font color="#FFFFFF">扫帚 </font>\n
不平凡的结局(猜一种生果)	不平凡的结局(猜一种生果)<br>谜底：<font color="#FFFFFF">奇易果</font>\n
不染凡间一点尘（字）	不染凡间一点尘（字）<br>谜底：<font color="#FFFFFF">几</font>\n
不生第二胎。  	不生第二胎。  <br>谜底：<font color="#FFFFFF">杜仲  </font>\n
不是高山，不是丘陵， 不是水泊，不是洼地。（打山东一地名）  	不是高山，不是丘陵， 不是水泊，不是洼地。（打山东一地名）  <br>谜底：<font color="#FFFFFF">平原  </font>\n
不是狐，不是狗， 前面架铡刀，后面拖扫帚。 	不是狐，不是狗， 前面架铡刀，后面拖扫帚。 <br>谜底：<font color="#FFFFFF">狼</font>\n
不是狐，不是狗， 前面架铡刀，后面拖扫帚。 	不是狐，不是狗， 前面架铡刀，后面拖扫帚。 <br>谜底：<font color="#FFFFFF">狼</font>\n
不是菊，不是梅， 开蓝花，结棒槌， 叶子长得象韭菜， 轻风吹过颤微微。 	不是菊，不是梅， 开蓝花，结棒槌， 叶子长得象韭菜， 轻风吹过颤微微。 <br>谜底：<font color="#FFFFFF">马莲花</font>\n
不是男孩（字）	不是男孩（字）<br>谜底：<font color="#FFFFFF">姓</font>\n
不是水，哗哗流， 不是泉，喷个够， 地下有，海底有， 建设祖国跑前头。 （打一矿产品）  	不是水，哗哗流， 不是泉，喷个够， 地下有，海底有， 建设祖国跑前头。 （打一矿产品）  <br>谜底：<font color="#FFFFFF">石油  </font>\n
不是冤家也碰头 (字) 	不是冤家也碰头 (字) <br>谜底：<font color="#FFFFFF">硼</font>\n
不受尘埃半点侵 （字 ）	不受尘埃半点侵 （字 ）<br>谜底：<font color="#FFFFFF">落</font>\n
不似春光，胜似春光。 （打一话剧名）  	不似春光，胜似春光。 （打一话剧名）  <br>谜底：<font color="#FFFFFF">枫叶红了的时候  </font>\n
不速之客游天外， 偶尔闯进大气来， 熊熊烈火烧不尽， 长留人间几千载， 别看铁石几小块， 却与太阳是同胎。（打一自然物） 	不速之客游天外， 偶尔闯进大气来， 熊熊烈火烧不尽， 长留人间几千载， 别看铁石几小块， 却与太阳是同胎。（打一自然物） <br>谜底：<font color="#FFFFFF">陨石</font>\n
不同桃李混芳尘 （外政坛人物 ）	不同桃李混芳尘 （外政坛人物 ）<br>谜底：<font color="#FFFFFF">梅杰</font>\n
不吐不快 （港名人 ）	不吐不快 （港名人 ）<br>谜底：<font color="#FFFFFF">陈方安生</font>\n
不要内心忧伤。  	不要内心忧伤。  <br>谜底：<font color="#FFFFFF">莫里哀</font>\n
不要说三道四（文学体裁）	不要说三道四（文学体裁）<br>谜底：<font color="#FFFFFF">七言绝句</font>\n
不依寒暑来变迁， 游人见了笑开颜， 硫磺暖水涌不尽， 引来众人洗开怀。（打一自然物） 	不依寒暑来变迁， 游人见了笑开颜， 硫磺暖水涌不尽， 引来众人洗开怀。（打一自然物） <br>谜底：<font color="#FFFFFF">温泉</font>\n
不用似根棍，用时半个球， 人在底下走，水在上边流	不用似根棍，用时半个球， 人在底下走，水在上边流<br>谜底：<font color="#FFFFFF">雨伞 </font>\n
不用梭子不用纱， 不在工厂在农家， 社员用它织绿毯， 织得田畦美如画。 （打一农机） 	不用梭子不用纱， 不在工厂在农家， 社员用它织绿毯， 织得田畦美如画。 （打一农机） <br>谜底：<font color="#FFFFFF">插秧机 </font>\n
不用心怎能有收获（国名）	不用心怎能有收获（国名）<br>谜底：<font color="#FFFFFF">乍得</font>\n
不在五行中（字）	不在五行中（字）<br>谜底：<font color="#FFFFFF">坎</font>\n
不准超过十五分钟（成语）	不准超过十五分钟（成语）<br>谜底：<font color="#FFFFFF">刻不容缓 </font>\n
部位相反（字）	部位相反（字）<br>谜底：<font color="#FFFFFF">陪</font>\n
猜拳（成语）	猜拳（成语）<br>谜底：<font color="#FFFFFF">令人发指</font>\n
猜着一半 （字） 	猜着一半 （字） <br>谜底：<font color="#FFFFFF">晴</font>\n
才下眉头,又上心头（字）	才下眉头,又上心头（字）<br>谜底：<font color="#FFFFFF">自</font>\n
采购回家。 （成语）	采购回家。 （成语）<br>谜底：<font color="#FFFFFF">满载而归 </font>\n
彩虹落人间， 横跨大江边， 虹上汽车过， 水流虹下面。 （打一建筑物）  	彩虹落人间， 横跨大江边， 虹上汽车过， 水流虹下面。 （打一建筑物）  <br>谜底：<font color="#FFFFFF">跨江大桥  </font>\n
 彩排 	 彩排 <br>谜底：<font color="#FFFFFF">是以色列! </font>\n
彩色封面。 （打一香港故事片名）  	彩色封面。 （打一香港故事片名）  <br>谜底：<font color="#FFFFFF">画皮  </font>\n
彩色锦缎挂天边， 夕阳映照更好看， 姑娘见了空欢喜， 不能剪来做衣衫。 （打一自然现象）	彩色锦缎挂天边， 夕阳映照更好看， 姑娘见了空欢喜， 不能剪来做衣衫。 （打一自然现象）<br>谜底：<font color="#FFFFFF">晚霞</font>\n
参加斗牛（三字影片名）	参加斗牛（三字影片名）<br>谜底：<font color="#FFFFFF">星星星</font>\n
参加房产保险（成语）	参加房产保险（成语）<br>谜底：<font color="#FFFFFF">居安思危</font>\n
参加培训辩伪术（四字学校用语）	参加培训辩伪术（四字学校用语）<br>谜底：<font color="#FFFFFF">学习认真</font>\n
残花片片落空庭 （字 ）	残花片片落空庭 （字 ）<br>谜底：<font color="#FFFFFF">庇</font>\n
残英乱下丛中掩 （字 ）	残英乱下丛中掩 （字 ）<br>谜底：<font color="#FFFFFF">萃</font>\n
残月残烛映残窗 (字) 	残月残烛映残窗 (字) <br>谜底：<font color="#FFFFFF">强</font>\n
残月孤灯	残月孤灯<br>谜底：<font color="#FFFFFF">炙</font>\n
沧海变桑田（毛主席词句）	沧海变桑田（毛主席词句）<br>谜底：<font color="#FFFFFF">一片汪洋都不见</font>\n
